Item	Condition	Order	Quantity	Left	Mid	Right	Instruction	Subject	RT	RESPONSE
1	4	1	1	6	15	24	"Choose the square with the fewest dots"	24	1345	LEFT
2	1	1	1	16	25	34	"Choose a square with about 20 dots"	24	8402	LEFT
3	1	1	2	26	35	44	"Choose a square with about 40 dots"	24	16625	MIDDLE
4	3	2	1	54	45	36	"Choose a square with few dots"	24	4340	RIGHT
1	2	2	2	24	15	6	"Choose the square with 24 dots"	24	20012	LEFT
2	4	2	2	34	25	16	"Choose the square with the most dots"	24	2473	LEFT
3	4	2	2	44	35	26	"Choose the square with the most dots"	24	1703	LEFT
4	1	2	2	54	45	36	"Choose a square with about 50 dots"	24	25679	LEFT
1	3	2	2	24	15	6	"Choose a square with many dots"	24	6526	MIDDLE
2	3	2	2	34	25	16	"Choose a square with many dots"	24	6634	MIDDLE
3	3	1	2	26	35	44	"Choose a square with many dots"	24	9962	RIGHT
4	1	1	1	36	45	54	"Choose a square with about 40 dots"	24	29806	LEFT
1	1	1	1	6	15	24	"Choose a square with about 10 dots"	24	12209	LEFT
2	2	2	2	34	25	16	"Choose the square with 34 dots"	24	16977	LEFT
3	4	2	1	44	35	26	"Choose the square with the fewest dots"	24	5549	RIGHT
4	3	2	2	54	45	36	"Choose a square with many dots"	24	10936	MIDDLE
1	1	1	2	6	15	24	"Choose a square with about 20 dots"	24	16980	RIGHT
2	2	1	2	16	25	34	"Choose the square with 34 dots"	24	16849	RIGHT
3	2	1	2	26	35	44	"Choose the square with 44 dots"	24	23373	RIGHT
4	4	2	2	54	45	36	"Choose the square with the most dots"	24	1587	LEFT
1	1	2	2	24	15	6	"Choose a square with about 20 dots"	24	5024	LEFT
2	4	1	1	16	25	34	"Choose the square with the fewest dots"	24	11045	LEFT
3	3	1	1	26	35	44	"Choose a square with few dots"	24	2249	LEFT
4	2	2	1	54	45	36	"Choose the square with 36 dots"	24	19151	RIGHT
1	4	2	1	24	15	6	"Choose the square with the fewest dots"	24	1591	RIGHT
2	3	1	2	16	25	34	"Choose a square with many dots"	24	2924	MIDDLE
3	3	2	1	44	35	26	"Choose a square with few dots"	24	8175	RIGHT
4	4	2	1	54	45	36	"Choose the square with the fewest dots"	24	2808	RIGHT
1	1	2	1	24	15	6	"Choose a square with about 10 dots"	24	12948	RIGHT
2	1	2	1	34	25	16	"Choose a square with about 20 dots"	24	20058	RIGHT
3	1	1	1	26	35	44	"Choose a square with about 30 dots"	24	10828	MIDDLE
4	3	1	2	36	45	54	"Choose a square with many dots"	24	5097	RIGHT
1	2	1	2	6	15	24	"Choose the square with 24 dots"	24	8037	RIGHT
2	2	1	1	16	25	34	"Choose the square with 16 dots"	24	13238	LEFT
3	4	1	1	26	35	44	"Choose the square with the fewest dots"	24	3200	LEFT
4	2	1	2	36	45	54	"Choose the square with 54 dots"	24	37700	RIGHT
1	4	1	2	6	15	24	"Choose the square with the most dots"	24	1185	RIGHT
2	3	1	1	16	25	34	"Choose a square with few dots"	24	2552	LEFT
3	1	2	1	44	35	26	"Choose a square with about 30 dots"	24	22304	RIGHT
4	1	1	2	36	45	54	"Choose a square with about 50 dots"	24	21145	RIGHT
1	3	1	1	6	15	24	"Choose a square with few dots"	24	2946	LEFT
2	1	2	2	34	25	16	"Choose a square with about 30 dots"	24	9877	LEFT
3	3	2	2	44	35	26	"Choose a square with many dots"	24	1389	LEFT
4	4	1	2	36	45	54	"Choose the square with the most dots"	24	1360	RIGHT
1	2	1	1	6	15	24	"Choose the square with 6 dots"	24	1990	LEFT
2	2	2	1	34	25	16	"Choose the square with 16 dots"	24	5558	RIGHT
3	2	1	1	26	35	44	"Choose the square with 26 dots"	24	28684	LEFT
4	2	1	1	36	45	54	"Choose the square with 36 dots"	24	8539	LEFT
1	4	2	2	24	15	6	"Choose the square with the most dots"	24	1495	LEFT
2	1	1	2	16	25	34	"Choose a square with about 30 dots"	24	11860	MIDDLE
3	2	2	2	44	35	26	"Choose the square with 44 dots"	24	17957	LEFT
4	2	2	2	54	45	36	"Choose the square with 54 dots"	24	2534	LEFT
1	3	1	2	6	15	24	"Choose a square with many dots"	24	1197	RIGHT
2	4	1	2	16	25	34	"Choose the square with the most dots"	24	1041	RIGHT
3	1	2	2	44	35	26	"Choose a square with about 40 dots"	24	13207	LEFT
4	4	1	1	36	45	54	"Choose the square with the fewest dots"	24	1310	LEFT
1	2	2	1	24	15	6	"Choose the square with 6 dots"	24	1719	RIGHT
2	3	2	1	34	25	16	"Choose a square with few dots"	24	2126	RIGHT
3	4	1	2	26	35	44	"Choose the square with the most dots"	24	968	RIGHT
4	3	1	1	36	45	54	"Choose a square with few dots"	24	2780	LEFT
1	3	2	1	24	15	6	"Choose a square with few dots"	24	787	RIGHT
2	4	2	1	34	25	16	"Choose the square with the fewest dots"	24	1644	RIGHT
3	2	2	1	44	35	26	"Choose the square with 26 dots"	24	13409	RIGHT
4	1	2	1	54	45	36	"Choose a square with about 40 dots"	24	22293	MIDDLE
1	4	1	1	6	15	24	"Choose the square with the fewest dots"	24	883	LEFT
2	4	2	1	34	25	16	"Choose the square with the fewest dots"	24	1170	RIGHT
3	1	2	1	44	35	26	"Choose a square with about 30 dots"	24	33880	MIDDLE
4	2	2	1	54	45	36	"Choose the square with 36 dots"	24	14872	RIGHT
1	2	1	2	6	15	24	"Choose the square with 24 dots"	24	7886	RIGHT
2	1	1	2	16	25	34	"Choose a square with about 30 dots"	24	13378	RIGHT
3	4	2	2	44	35	26	"Choose the square with the most dots"	24	3640	LEFT
4	4	2	2	54	45	36	"Choose the square with the most dots"	24	2170	LEFT
1	3	2	2	24	15	6	"Choose a square with many dots"	24	3241	LEFT
2	4	1	1	16	25	34	"Choose the square with the fewest dots"	24	1699	LEFT
3	1	2	2	44	35	26	"Choose a square with about 40 dots"	24	15062	LEFT
4	4	2	1	54	45	36	"Choose the square with the fewest dots"	24	2086	RIGHT
1	1	1	1	6	15	24	"Choose a square with about 10 dots"	24	7404	LEFT
2	2	2	1	34	25	16	"Choose the square with 16 dots"	24	6945	RIGHT
3	3	1	1	26	35	44	"Choose a square with few dots"	24	1904	LEFT
4	1	2	1	54	45	36	"Choose a square with about 40 dots"	24	22627	MIDDLE
1	1	2	1	24	15	6	"Choose a square with about 10 dots"	24	6575	RIGHT
2	3	2	1	34	25	16	"Choose a square with few dots"	24	1154	RIGHT
3	4	2	1	44	35	26	"Choose the square with the fewest dots"	24	1250	RIGHT
