Item	Condition	Order	Quantity	Left	Mid	Right	Instruction	Subject	RT	RESPONSE
1	4	1	1	6	15	24	"Choose the square with the fewest dots"	11	794	LEFT
2	4	2	1	34	25	16	"Choose the square with the fewest dots"	11	1505	RIGHT
3	3	2	1	44	35	26	"Choose a square with few dots"	11	1557	RIGHT
4	4	1	1	36	45	54	"Choose the square with the fewest dots"	11	1149	LEFT
1	3	2	2	24	15	6	"Choose a square with many dots"	11	1042	LEFT
2	4	1	1	16	25	34	"Choose the square with the fewest dots"	11	921	LEFT
3	1	1	2	26	35	44	"Choose a square with about 40 dots"	11	4168	RIGHT
4	2	1	2	36	45	54	"Choose the square with 54 dots"	11	1579	RIGHT
1	3	2	1	24	15	6	"Choose a square with few dots"	11	1021	RIGHT
2	2	2	1	34	25	16	"Choose the square with 16 dots"	11	1557	MIDDLE
3	1	1	1	26	35	44	"Choose a square with about 30 dots"	11	1487	LEFT
4	2	1	1	36	45	54	"Choose the square with 36 dots"	11	1734	LEFT
1	3	1	1	6	15	24	"Choose a square with few dots"	11	809	LEFT
2	1	1	2	16	25	34	"Choose a square with about 30 dots"	11	3706	RIGHT
3	4	2	2	44	35	26	"Choose the square with the most dots"	11	1427	LEFT
4	1	2	1	54	45	36	"Choose a square with about 40 dots"	11	3303	MIDDLE
1	1	1	1	6	15	24	"Choose a square with about 10 dots"	11	3217	LEFT
2	3	2	2	34	25	16	"Choose a square with many dots"	11	920	LEFT
3	4	1	1	26	35	44	"Choose the square with the fewest dots"	11	727	LEFT
4	4	2	1	54	45	36	"Choose the square with the fewest dots"	11	2814	RIGHT
1	2	1	2	6	15	24	"Choose the square with 24 dots"	11	3045	RIGHT
2	3	1	2	16	25	34	"Choose a square with many dots"	11	630	RIGHT
3	3	1	1	26	35	44	"Choose a square with few dots"	11	1752	LEFT
4	3	1	1	36	45	54	"Choose a square with few dots"	11	1642	LEFT
1	1	2	1	24	15	6	"Choose a square with about 10 dots"	11	5007	RIGHT
2	1	2	1	34	25	16	"Choose a square with about 20 dots"	11	1670	RIGHT
3	1	2	1	44	35	26	"Choose a square with about 30 dots"	11	1760	MIDDLE
4	2	2	2	54	45	36	"Choose the square with 54 dots"	11	2063	LEFT
1	1	1	2	6	15	24	"Choose a square with about 20 dots"	11	5330	RIGHT
2	3	1	1	16	25	34	"Choose a square with few dots"	11	1655	LEFT
3	2	1	2	26	35	44	"Choose the square with 44 dots"	11	2116	RIGHT
4	4	2	2	54	45	36	"Choose the square with the most dots"	11	1502	LEFT
1	3	1	2	6	15	24	"Choose a square with many dots"	11	1829	RIGHT
2	4	1	2	16	25	34	"Choose the square with the most dots"	11	737	RIGHT
3	2	2	2	44	35	26	"Choose the square with 44 dots"	11	953	LEFT
4	2	2	1	54	45	36	"Choose the square with 36 dots"	11	1155	MIDDLE
1	1	2	2	24	15	6	"Choose a square with about 20 dots"	11	1519	MIDDLE
2	2	1	1	16	25	34	"Choose the square with 16 dots"	11	2531	LEFT
3	3	1	2	26	35	44	"Choose a square with many dots"	11	1132	RIGHT
4	1	1	1	36	45	54	"Choose a square with about 40 dots"	11	1512	MIDDLE
1	2	2	2	24	15	6	"Choose the square with 24 dots"	11	1989	LEFT
2	3	2	1	34	25	16	"Choose a square with few dots"	11	1573	RIGHT
3	4	1	2	26	35	44	"Choose the square with the most dots"	11	2160	RIGHT
4	3	2	1	54	45	36	"Choose a square with few dots"	11	2920	RIGHT
1	4	2	2	24	15	6	"Choose the square with the most dots"	11	1222	LEFT
2	1	2	2	34	25	16	"Choose a square with about 30 dots"	11	3300	MIDDLE
3	4	2	1	44	35	26	"Choose the square with the fewest dots"	11	1348	RIGHT
4	1	1	2	36	45	54	"Choose a square with about 50 dots"	11	1786	RIGHT
1	4	1	2	6	15	24	"Choose the square with the most dots"	11	723	RIGHT
2	2	2	2	34	25	16	"Choose the square with 34 dots"	11	1140	LEFT
3	2	2	1	44	35	26	"Choose the square with 26 dots"	11	2189	RIGHT
4	1	2	2	54	45	36	"Choose a square with about 50 dots"	11	1919	LEFT
1	2	2	1	24	15	6	"Choose the square with 6 dots"	11	1468	RIGHT
2	4	2	2	34	25	16	"Choose the square with the most dots"	11	840	LEFT
3	3	2	2	44	35	26	"Choose a square with many dots"	11	596	LEFT
4	3	2	2	54	45	36	"Choose a square with many dots"	11	2108	MIDDLE
1	4	2	1	24	15	6	"Choose the square with the fewest dots"	11	1114	RIGHT
2	1	1	1	16	25	34	"Choose a square with about 20 dots"	11	3359	MIDDLE
3	1	2	2	44	35	26	"Choose a square with about 40 dots"	11	2099	MIDDLE
4	3	1	2	36	45	54	"Choose a square with many dots"	11	1018	RIGHT
1	2	1	1	6	15	24	"Choose the square with 6 dots"	11	1176	LEFT
2	2	1	2	16	25	34	"Choose the square with 34 dots"	11	1164	MIDDLE
3	2	1	1	26	35	44	"Choose the square with 26 dots"	11	3106	LEFT
4	4	1	2	36	45	54	"Choose the square with the most dots"	11	3841	RIGHT
1	3	2	1	24	15	6	"Choose a square with few dots"	11	876	RIGHT
2	1	2	1	34	25	16	"Choose a square with about 20 dots"	11	1993	MIDDLE
3	4	2	1	44	35	26	"Choose the square with the fewest dots"	11	1653	RIGHT
4	4	2	2	54	45	36	"Choose the square with the most dots"	11	1098	LEFT
1	2	1	2	6	15	24	"Choose the square with 24 dots"	11	1869	RIGHT
2	2	2	2	34	25	16	"Choose the square with 34 dots"	11	2414	MIDDLE
